timestamp,accel,accelX,accelY,accelZ,gyro,gyroX,gyroY,gyroZ,magno,magnoX,magnoY,magnoZ
518763.94904,3,-1.472,4.356,8.354
518764.01709,3,-1.446,4.140,8.310,5,2.475,45.450,-0.188
518764.08514,3,-0.663,2.617,9.104,4,-1.245,-0.482,0.627,5,3.094,45.244,1.444
518764.15319,3,-0.471,1.210,9.190,4,-0.956,-0.343,0.624,5,4.106,45.131,2.963
518764.22124,3,0.510,2.191,9.638,4,-0.605,-0.163,0.511,5,4.913,44.850,4.238
518764.28928,3,-0.176,1.793,9.881,4,-0.315,0.075,0.273,5,5.400,44.588,5.006
518764.35733,3,-0.172,1.557,9.924,4,-0.288,0.189,0.305,5,5.963,44.306,5.850
518764.42538,3,0.009,0.937,10.290,4,-0.339,0.096,0.167,5,6.450,44.025,6.656
518764.49343,3,0.269,0.932,9.409,4,-0.174,-0.303,-0.030,5,6.788,43.744,7.238
518764.56147,3,-0.427,1.506,9.502,4,-0.170,-0.063,-0.163,5,7.669,43.481,8.700
518764.62952,3,-0.184,1.102,9.859,4,-0.275,0.031,-0.061,5,8.250,43.069,9.881
518764.69757,3,0.264,0.852,9.862,4,0.086,0.101,0.132,5,8.513,42.731,10.800
518764.76562,3,-0.059,1.284,9.508,4,0.056,-0.195,-0.099,5,8.719,42.469,11.438
518764.83367,3,-0.040,1.137,9.431,4,-0.003,-0.075,-0.062,5,8.963,42.431,11.906
518764.90171,3,0.050,1.123,9.583,4,-0.247,-0.124,-0.026,5,8.963,42.413,12.188
518764.96976,3,0.498,0.779,9.864,4,-0.084,-0.267,0.106,5,8.869,42.300,12.375
518765.03781,3,0.472,0.925,10.106,4,0.146,-0.087,0.072,5,8.850,42.375,12.600
518765.10586,3,0.507,1.108,9.398,4,0.265,0.074,0.032,5,8.794,42.263,12.656
518765.17390,3,0.414,0.924,9.870,4,-0.162,0.179,0.011,5,8.981,42.263,12.713
518765.24195,3,-0.017,1.111,9.492,4,0.076,0.320,-0.014,5,9.075,42.244,12.563
518765.31000,3,-0.137,0.929,9.770,4,-0.055,0.277,0.029,5,9.113,42.244,12.525
518765.37805,3,0.096,1.360,9.868,4,-0.026,0.176,-0.232,5,8.869,42.225,12.619
518765.44610,3,0.045,1.481,9.276,4,0.495,-0.577,-0.386,5,8.756,42.206,12.581
518765.51414,3,-0.020,0.983,9.641,4,-0.017,-0.115,-0.159,5,8.663,42.506,12.356
518765.58219,3,-0.783,0.863,9.998,4,-0.428,0.847,-0.127,5,8.400,42.638,12.188
518765.65024,3,-0.721,0.772,9.610,4,-0.127,0.027,-0.110,5,8.006,42.675,12.319
518765.71829,3,-0.612,0.677,9.501,4,-0.004,-0.262,-0.051,5,7.481,42.750,12.263
518765.78634,3,0.023,0.623,9.576,4,-0.036,-0.597,0.121,5,7.088,42.788,12.394
518765.85438,3,0.211,0.755,9.208,4,-0.135,0.031,0.081,5,6.863,42.844,12.394
518765.92243,3,-0.239,0.734,10.215,4,-0.431,0.588,0.054,5,6.769,42.750,12.525
518765.99048,3,0.120,0.632,9.634,4,-0.151,-0.017,0.148,5,6.563,42.731,12.881
518766.05853,3,0.551,0.649,9.708,4,-0.022,-0.274,0.099,5,6.431,42.544,13.313
518766.12657,3,-0.239,0.627,9.550,4,-0.060,0.140,-0.030,5,6.488,42.375,13.744
518766.19462,3,-0.525,0.304,9.892,4,-0.178,0.148,-0.086,5,6.675,42.225,14.044
518766.26267,3,-0.377,0.163,10.076,4,-0.149,-0.053,-0.018,5,6.844,42.113,14.419
518766.33072,3,-0.240,0.396,9.821,4,0.024,-0.055,0.025,5,6.994,41.850,14.813
518766.39877,3,-0.427,0.421,9.511,4,0.083,-0.064,-0.021,5,6.938,41.663,15.131
518766.46681,3,-0.408,0.284,9.686,4,-0.020,0.088,0.050,5,7.163,41.400,15.563
518766.53486,3,-0.237,0.350,9.385,4,0.015,0.005,0.147
518766.60291,3,-0.120,0.339,9.820,4,-0.060,0.035,0.111,5,7.275,41.231,15.769
518766.67096,3,0.054,0.314,10.290,4,-0.104,-0.015,0.113,5,7.406,40.988,16.013
518766.73901,3,-0.090,0.444,9.788,4,0.226,-0.005,0.055
518766.80705,3,-0.388,0.491,9.585,4,0.253,0.087,-0.084,5,7.519,41.250,15.825
518766.87510,3,-0.203,0.567,9.571,4,0.076,0.075,0.046,5,7.575,41.400,15.788
518766.94315,3,0.007,0.666,9.443,4,0.069,-0.103,0.038
518767.01120,3,-0.193,0.597,9.629,4,-0.044,-0.013,-0.018,5,7.894,41.550,15.338
518767.07924,3,-0.425,0.536,9.739,4,-0.053,-0.020,-0.039,5,7.969,41.756,15.075
518767.14729,3,-0.055,0.522,10.066,4,-0.055,-0.134,-0.000,5,7.969,41.775,14.888
518767.21534,3,-0.008,0.795,9.564,4,0.182,-0.161,-0.047,5,8.044,42.000,14.588
518767.28339,3,0.092,0.656,9.679,4,-0.035,0.002,-0.001,5,8.138,41.944,14.381
518767.35144,3,-0.054,0.613,9.619,4,-0.000,0.023,-0.048,5,8.306,42.019,14.156
518767.41948,3,-0.150,0.608,9.697,4,-0.083,0.048,-0.080,5,8.400,42.019,13.988
518767.48753,3,-0.167,0.581,9.701,4,-0.057,0.041,-0.014,5,8.250,42.000,14.044
518767.55558,3,-0.222,0.542,9.753,4,-0.053,0.057,0.033,5,8.175,42.000,14.119
518767.62363,3,0.038,0.538,9.556,4,-0.006,0.014,0.065,5,8.175,41.944,14.213
518767.69168,3,-0.052,0.691,9.298,4,-0.019,0.082,-0.018,5,8.231,41.906,14.288
518767.75972,3,0.100,0.546,9.127,4,-0.159,0.240,-0.013,5,8.194,41.888,14.194
518767.82777,3,-0.323,0.832,11.219,4,-0.399,1.191,-0.368,5,8.063,41.906,14.400
518767.89582,3,-4.274,3.024,20.075,4,-0.178,2.068,-0.484,5,7.369,41.681,14.925
518767.96387,3,-8.038,4.444,29.147,4,2.623,-0.625,-0.130,5,6.413,41.738,15.113
518768.03191,3,-2.224,6.490,9.750,4,12.106,-6.251,0.649,5,5.981,42.019,12.525
518768.09996,3,-8.819,7.059,-1.691,4,14.692,-9.452,-2.815,5,3.675,39.169,6.019
518768.16801,3,-10.561,-2.189,23.442,4,8.679,-7.153,-1.596,5,-0.863,32.194,0.694
518768.23606,3,5.890,-12.590,19.288,4,8.946,-0.409,2.903,5,-6.094,24.469,-2.269
518768.30411,3,6.525,-14.759,10.144,4,9.383,2.891,1.765,5,-11.869,17.869,-3.938
518768.37215,3,15.673,-8.890,7.167,4,5.162,6.991,0.933,5,-17.719,11.963,-7.331
518768.44020,3,17.748,-13.423,-0.519,4,2.401,9.306,-5.560,5,-21.806,5.438,-13.219
518768.50825,3,21.026,-6.526,6.727,4,0.208,15.912,-10.505,5,-20.325,-2.175,-19.875
518768.57630,3,-8.323,-0.311,21.299,4,-1.713,11.943,-14.875,5,-15.319,-6.750,-20.494
518768.64435,3,3.213,8.550,27.191,4,0.985,4.386,-8.087,5,-11.288,-4.763,-13.725
518768.71239,3,2.494,8.775,35.846,4,3.258,-0.198,-4.283,5,-6.956,2.681,-8.625
518768.78044,3,-20.873,9.299,33.327,4,9.849,-5.804,-3.529,5,-2.963,11.175,-7.725
518768.84849,3,-36.812,-13.164,20.581,4,12.348,-6.055,0.323,5,0.225,17.344,-10.631
518768.91654,3,-13.848,-3.681,10.014,4,17.603,-7.841,10.209,5,2.213,19.631,-13.575
518768.98459,3,-6.173,11.710,7.612,4,11.715,-2.466,5.470,5,1.594,20.588,-13.125
518769.05263,3,6.268,12.880,11.600,4,6.533,-2.441,1.315,5,-4.875,22.425,-10.331
518769.12068,3,17.822,-4.762,10.456,4,4.826,-1.470,-0.687,5,-15.469,20.925,-9.675
518769.18873,3,20.716,-23.620,-0.201,4,2.718,4.337,-4.809,5,-23.569,15.319,-12.244
518769.25678,3,25.333,-40.482,-0.362,4,-3.140,10.780,-8.539,5,-30.525,5.400,-14.531
518769.32482,3,23.825,-26.181,-1.959,4,-4.030,13.058,-15.443,5,-29.400,-3.038,-19.706
518769.39287,3,4.818,1.506,23.923,4,-4.940,11.246,-13.119,5,-22.706,-5.869,-19.800
518769.46092,3,15.808,10.016,22.637,4,0.783,-1.963,-7.625,5,-17.288,-2.231,-14.119
518769.52897,3,1.700,-7.208,34.237,4,-0.464,-0.959,-9.029,5,-12.975,4.106,-9.525
518769.59702,3,-24.231,-30.988,42.365,4,6.528,-3.393,-8.264,5,-10.950,9.263,-6.431
518769.66506,3,-12.566,-20.020,21.660,4,19.209,-4.776,-0.680,5,-10.088,13.181,-6.094
518769.73311,3,3.710,-3.783,18.392,4,16.238,-1.365,1.418,5,-9.206,16.031,-8.194
518769.80116,3,4.375,1.408,0.126,4,9.838,2.553,-3.079,5,-10.256,18.319,-7.856
518769.86921,3,28.150,-7.091,-12.485,4,2.910,1.760,-2.739,5,-23.719,12.975,-5.063
518769.93725,3,30.913,-16.705,-17.921,4,-4.556,1.809,-5.378
518770.00530,3,23.479,-17.627,-12.589,4,-8.531,6.603,-9.842,5,-25.781,-2.325,-17.813
518770.07335,3,35.970,-11.262,-3.191,4,-6.318,6.035,-8.653,5,-19.350,-4.069,-22.988
518770.14140,3,51.511,-25.682,21.521,4,-3.659,-0.225,-7.088
518770.20945,3,50.309,-43.930,57.844,4,-3.365,-5.459,-11.096,5,-11.119,0.919,-23.644
518770.27749,3,53.317,-46.832,77.538,4,0.224,-11.579,-10.743,5,-10.913,3.844,-18.769
518770.34554,3,28.723,-37.142,74.176,4,1.016,-11.724,-8.486,5,-8.269,7.088,-11.644
518770.41359,3,17.390,-11.928,50.332,4,4.179,-13.126,-2.684,5,-2.813,12.750,-5.438
518770.48164,3,27.587,-2.212,33.764,4,0.822,-10.328,2.207,5,2.981,18.019,-0.131
518770.54969,3,21.555,-1.754,38.147,4,-3.576,-9.304,2.119,5,5.513,19.500,3.619
518770.61773,3,8.229,3.660,29.087,4,-4.110,-6.707,-0.300,5,5.475,17.944,3.844
518770.68578,3,9.989,8.093,19.770,4,-2.306,-6.138,0.812,5,5.775,14.831,1.481
518770.75383,3,10.143,9.357,12.532,4,-1.585,-4.964,1.411,5,8.625,12.263,-2.831
518770.82188,3,11.894,7.572,12.071,4,-2.173,-4.258,0.999,5,12.563,12.881,-10.050
518770.88992,3,6.330,5.583,12.691,4,-2.439,-4.318,0.261,5,12.731,15.375,-18.806
518770.95797,3,8.514,12.774,15.980,4,-2.465,-3.628,0.111,5,8.269,17.513,-25.444
518771.02602,3,-5.381,14.405,25.746,4,-1.343,-3.197,-0.759,5,1.238,20.138,-28.313
518771.09407,3,-25.469,-2.322,30.138,4,3.040,-3.647,-0.105,5,-6.506,23.269,-27.600
518771.16212,3,29.638,-25.227,14.601,4,7.659,0.971,6.328,5,-12.206,26.344,-26.494
518771.23016,3,59.182,-6.858,-5.497,4,10.162,9.391,1.004,5,-14.025,27.056,-26.794
518771.29821,3,41.285,0.053,-1.480,4,4.182,8.357,-2.508,5,-10.856,25.369,-25.931
518771.36626,3,26.318,-7.705,2.916,4,1.290,8.091,-7.173,5,-5.925,24.375,-23.100
518771.43431,3,25.387,-32.523,-14.256,4,2.915,4.910,-9.403,5,-0.919,24.544,-19.744
518771.50236,3,19.253,-21.192,-13.103,4,-0.006,5.173,-8.315,5,2.513,25.444,-16.931
518771.57040,3,35.907,-20.962,13.766,4,-1.419,-8.820,-1.945,5,4.969,26.494,-15.075
518771.63845,3,38.726,-35.773,49.212,4,-6.604,-9.021,-5.822,5,7.181,27.094,-11.513
518771.70650,3,24.414,-25.906,64.146,4,-3.754,-0.578,-9.537,5,7.238,24.694,-4.125
518771.77455,3,26.003,-18.623,58.536,4,7.135,-5.398,-9.582,5,5.306,24.019,5.981
518771.84260,3,13.069,-19.798,28.626,4,8.380,-5.457,-9.714,5,-0.000,26.213,14.625
518771.91064,3,16.141,-29.337,41.189,4,6.455,-9.731,-5.988,5,-6.694,28.088,19.650
518771.97869,3,4.707,-36.858,26.337,4,1.366,2.378,-4.712,5,-12.038,28.125,23.419
