timestamp,accel,accelX,accelY,accelZ,gyro,gyroX,gyroY,gyroZ,magno,magnoX,magnoY,magnoZ,ori,oriX,oriY,oriZ,lacc,laccX,laccY,laccZ,gravity,gravityX,gravityY,gravityZ
30974.17421,3,0.869,-0.368,9.318,4,-0.025,0.019,0.004
30974.21463,3,0.976,-0.284,10.038,4,-0.049,0.115,-0.000,5,-39.413,14.400,21.300
30974.25505,3,0.905,-0.502,9.385,4,-0.019,0.014,0.003,5,-39.713,14.400,21.713,81,69.910,1.620,5.551,82,0.027,-0.008,0.281,83,0.949,-0.276,9.757
30974.29547,3,0.931,-0.335,9.888,4,-0.004,0.019,0.002,5,-39.956,14.213,21.300,81,69.905,1.698,5.394,82,-0.017,-0.213,-0.374,83,0.922,-0.289,9.759
30974.33590,3,0.821,-0.390,9.464,4,-0.003,-0.014,0.001,5,-40.013,14.288,21.188,81,69.897,1.697,5.432,82,0.003,-0.046,0.130,83,0.928,-0.289,9.758
30974.37632,3,0.991,-0.418,9.787,4,0.006,0.020,0.001,5,-40.069,14.344,20.888,81,69.895,1.693,5.400,82,-0.102,-0.102,-0.295,83,0.923,-0.288,9.759
30974.41674,3,0.871,-0.289,9.591,4,-0.006,-0.015,0.001,5,-39.844,14.344,20.588,81,69.894,1.698,5.404,82,0.068,-0.129,0.028,83,0.923,-0.289,9.759
30974.45716,3,0.823,-0.464,9.727,4,0.002,0.006,-0.000,5,-39.788,14.513,20.700,81,69.889,1.699,5.406,82,-0.053,0.000,-0.168,83,0.924,-0.289,9.759
30974.49759,3,0.974,-0.318,9.662,4,-0.003,-0.010,0.002,5,-40.144,14.100,20.644,81,69.887,1.706,5.395,82,-0.099,-0.173,-0.032,83,0.922,-0.291,9.759
30974.53801,3,0.902,-0.378,9.641,4,0.003,0.006,-0.000,5,-40.256,14.288,20.888,81,69.889,1.708,5.402,82,0.051,-0.027,-0.097,83,0.923,-0.291,9.759
30974.57843,3,0.845,-0.416,9.732,4,0.001,0.001,0.002,5,-40.069,14.400,20.588,81,69.890,1.707,5.387,82,-0.019,-0.087,-0.118,83,0.921,-0.291,9.759
30974.61885,3,0.960,-0.313,9.605,4,-0.001,0.007,0.004,5,-40.313,14.644,20.888,81,69.889,1.716,5.385,82,-0.075,-0.124,-0.027,83,0.920,-0.292,9.759
30974.65927,3,0.830,-0.435,9.744,4,0.001,0.000,0.003,5,-40.369,14.700,20.888,81,69.889,1.714,5.376,82,0.041,-0.021,-0.154,83,0.919,-0.292,9.759
30974.69970,3,0.919,-0.344,9.617,4,-0.001,-0.001,0.001,5,-40.369,14.588,20.813,81,69.881,1.730,5.372,82,-0.088,-0.140,-0.015,83,0.918,-0.295,9.759
30974.74012,3,0.826,-0.390,9.720,4,0.001,0.003,-0.000,5,-40.725,14.344,20.888,81,69.885,1.730,5.364,82,0.002,-0.049,-0.142,83,0.917,-0.294,9.759
30974.78054,3,0.909,-0.375,9.653,4,0.002,0.000,-0.002,5,-40.988,13.781,20.513,81,69.888,1.738,5.357,82,-0.089,-0.094,-0.039,83,0.916,-0.296,9.759
30974.82096,3,0.967,-0.406,9.651,4,0.005,0.012,0.004,5,-40.856,13.913,20.588,81,69.917,1.742,5.352,82,-0.006,-0.079,-0.106,83,0.915,-0.296,9.759
30974.86139,3,0.864,-0.394,9.706,4,-0.008,0.029,0.003,5,-40.988,13.988,20.644,81,69.932,1.751,5.351,82,0.052,-0.108,-0.108,83,0.915,-0.298,9.759
30974.90181,3,0.991,-0.418,9.636,4,0.004,0.009,0.008,5,-40.988,13.988,20.400,81,69.948,1.759,5.337,82,-0.048,-0.095,-0.053,83,0.912,-0.299,9.760
30974.94223,3,0.988,-0.387,9.670,4,0.004,0.008,0.005,5,-40.369,14.100,20.344,81,69.970,1.766,5.343,82,0.078,-0.118,-0.123,83,0.913,-0.300,9.759
30974.98265,3,0.816,-0.421,9.667,4,0.003,0.001,0.001,5,-40.313,14.344,19.781,81,69.995,1.778,5.351,82,0.073,-0.085,-0.089,83,0.915,-0.302,9.759
30975.02307,3,0.991,-0.303,9.651,4,-0.002,0.006,0.001,5,-40.256,14.213,19.744,81,69.997,1.788,5.337,82,-0.096,-0.118,-0.092,83,0.912,-0.303,9.759
30975.06350,3,0.816,-0.378,9.691,4,-0.002,-0.002,-0.002,5,-40.425,14.644,19.781,81,70.009,1.785,5.338,82,0.078,-0.000,-0.108,83,0.913,-0.303,9.759
30975.10392,3,0.902,-0.363,9.667,4,0.003,-0.001,0.002,5,-40.556,14.813,20.344,81,70.007,1.792,5.326,82,-0.094,-0.074,-0.069,83,0.910,-0.304,9.760
30975.14434,3,0.905,-0.354,9.686,4,0.001,0.000,0.002,5,-40.688,14.513,20.513,81,70.001,1.793,5.320,82,-0.008,-0.059,-0.093,83,0.909,-0.304,9.760
30975.18476,3,0.787,-0.426,9.689,4,0.001,0.000,-0.000,5,-40.613,14.588,20.813,81,70.000,1.799,5.320,82,-0.005,-0.049,-0.074,83,0.910,-0.305,9.760
30975.22519,3,0.988,-0.323,9.672,4,-0.001,0.002,-0.002,5,-40.688,14.288,20.888,81,69.998,1.812,5.305,82,-0.120,-0.119,-0.071,83,0.907,-0.307,9.760
30975.26561,3,0.770,-0.406,9.694,4,0.001,-0.007,-0.002,5,-40.688,14.344,20.644,81,70.017,1.813,5.311,82,0.080,-0.016,-0.088,83,0.908,-0.307,9.760
30975.30603,3,1.003,-0.339,9.655,4,0.001,0.005,0.004,5,-40.725,14.344,20.888,81,70.029,1.827,5.297,82,-0.135,-0.097,-0.066,83,0.905,-0.309,9.760
30975.34645,3,0.840,-0.385,9.718,4,-0.001,-0.001,-0.002,5,-40.856,14.513,20.813,81,70.047,1.828,5.303,82,0.097,-0.030,-0.105,83,0.906,-0.309,9.760
30975.38688,3,0.902,-0.375,9.641,4,-0.002,-0.001,0.004,5,-40.688,14.513,20.644,81,70.053,1.838,5.296,82,-0.065,-0.075,-0.042,83,0.905,-0.310,9.760
30975.42730,3,0.900,-0.399,9.713,4,0.004,0.000,-0.002,5,-40.688,14.400,21.000,81,70.058,1.844,5.292,82,-0.002,-0.064,-0.119,83,0.904,-0.311,9.760
30975.46772,3,0.857,-0.363,9.670,4,0.002,-0.002,-0.000,5,-40.613,14.513,20.925,81,70.071,1.856,5.293,82,-0.004,-0.086,-0.047,83,0.904,-0.313,9.760
30975.50814,3,0.941,-0.404,9.682,4,0.001,0.003,0.003,5,-40.988,14.400,20.813,81,70.075,1.861,5.284,82,-0.046,-0.050,-0.090,83,0.903,-0.313,9.760
30975.54856,3,0.849,-0.371,9.677,4,-0.002,-0.002,-0.002,5,-41.156,14.513,21.300,81,70.089,1.873,5.287,82,0.038,-0.089,-0.078,83,0.903,-0.315,9.760
30975.58899,3,1.041,-0.761,9.672,4,0.006,0.029,-0.027,5,-41.044,14.513,21.113,81,70.099,1.881,5.282,82,-0.053,-0.055,-0.083,83,0.902,-0.316,9.760
30975.62941,3,0.861,-0.100,9.639,4,0.022,-0.032,-0.006,5,-40.688,14.213,20.813,81,70.122,1.949,5.286,82,0.138,-0.435,-0.088,83,0.903,-0.326,9.760
30975.66983,3,0.998,-1.048,9.653,4,-0.020,-0.026,0.010,5,-40.069,14.044,20.700,81,70.118,1.919,5.285,82,-0.042,0.221,-0.121,83,0.903,-0.321,9.760
30975.71025,3,0.835,0.510,9.710,4,0.001,-0.046,-0.005,5,-40.013,13.988,20.513,81,70.121,2.042,5.285,82,0.095,-0.710,-0.106,83,0.903,-0.338,9.759
30975.75068,3,0.811,-0.718,9.653,4,-0.005,0.020,0.006,5,-39.956,13.613,20.700,81,70.165,1.878,5.302,82,-0.071,0.825,-0.050,83,0.906,-0.315,9.760
30975.79110,3,1.096,-0.517,9.696,4,0.001,0.003,-0.003,5,-40.556,13.913,20.888,81,70.160,1.947,5.280,82,-0.091,-0.393,-0.107,83,0.902,-0.325,9.760
30975.83152,3,0.663,-0.009,9.634,4,-0.001,-0.008,0.010,5,-40.556,13.669,20.888,81,70.191,1.981,5.297,82,0.190,-0.187,-0.063,83,0.906,-0.330,9.759
30975.87194,3,1.015,-0.193,9.696,4,-0.008,0.019,0.005,5,-40.613,13.744,20.813,81,70.227,1.943,5.277,82,-0.238,0.316,-0.126,83,0.901,-0.325,9.760
