timestamp,accel,accelX,accelY,accelZ,gyro,gyroX,gyroY,gyroZ,magno,magnoX,magnoY,magnoZ,ori,oriX,oriY,oriZ,lacc,laccX,laccY,laccZ,gravity,gravityX,gravityY,gravityZ
31035.87908,3,1.163,-0.294,10.601,4,0.011,-0.128,-0.004
31035.91951,3,0.885,-0.387,9.239,4,-0.017,-0.063,0.004,5,-57.844,10.313,-6.188
31035.95993,3,1.182,-0.483,9.279,4,0.168,-0.211,-0.009,5,-57.788,10.313,-6.056,81,79.997,2.399,5.467,82,-0.049,0.022,-0.515,83,0.934,-0.409,9.753
31036.00035,3,1.106,-0.284,10.877,4,-0.067,0.313,0.006,5,-57.188,10.200,-5.813,81,79.993,2.313,5.700,82,0.208,-0.089,-0.471,83,0.974,-0.394,9.750
31036.04078,3,0.847,-0.529,7.749,4,-0.062,0.080,0.000,5,-57.113,9.881,-5.588,81,79.996,2.470,5.427,82,0.178,0.137,1.123,83,0.927,-0.421,9.754
31036.08120,3,1.089,-0.277,10.731,4,-0.058,0.013,0.004,5,-56.944,9.544,-5.400,81,80.018,2.566,4.858,82,0.017,-0.092,-2.013,83,0.830,-0.438,9.762
31036.12162,3,0.830,-0.378,8.367,4,-0.005,0.036,-0.002,5,-56.756,9.469,-5.513,81,80.004,2.645,5.099,82,0.217,0.174,0.974,83,0.872,-0.451,9.757
31036.16204,3,1.077,-0.423,10.448,4,0.013,0.035,-0.001,5,-56.813,9.300,-5.588,81,80.025,2.571,4.903,82,-0.008,0.060,-1.394,83,0.838,-0.438,9.761
31036.20247,3,0.823,-0.387,8.925,4,-0.007,-0.011,-0.002,5,-56.513,9.713,-6.000,81,80.025,2.624,5.056,82,0.213,0.024,0.690,83,0.864,-0.447,9.758
31036.24289,3,1.029,-0.430,10.249,4,0.011,0.026,0.001,5,-56.344,9.788,-6.300,81,80.041,2.584,4.918,82,-0.018,0.053,-0.836,83,0.841,-0.440,9.761
31036.28331,3,0.854,-0.368,9.169,4,-0.001,0.012,-0.002,5,-56.456,9.788,-6.300,81,80.041,2.617,5.020,82,0.171,0.016,0.490,83,0.858,-0.446,9.759
31036.32374,3,0.986,-0.428,10.086,4,0.005,0.016,0.000,5,-56.944,9.844,-6.600,81,80.053,2.586,4.932,82,0.011,0.073,-0.591,83,0.843,-0.441,9.760
31036.36416,3,0.878,-0.354,9.313,4,-0.006,-0.012,0.000,5,-57.244,9.713,-6.356,81,80.052,2.607,5.005,82,0.130,0.017,0.327,83,0.856,-0.444,9.759
31036.40458,3,0.962,-0.442,9.995,4,-0.002,0.001,-0.001,5,-56.944,9.788,-6.000,81,80.066,2.583,4.943,82,0.033,0.086,-0.447,83,0.845,-0.440,9.760
31036.44500,3,0.890,-0.371,9.418,4,-0.006,-0.011,0.000,5,-56.944,9.788,-5.700,81,80.071,2.600,4.994,82,0.108,0.001,0.236,83,0.854,-0.443,9.759
31036.48543,3,0.931,-0.404,9.904,4,0.006,0.009,0.000,5,-56.756,9.881,-5.588,81,80.082,2.583,4.955,82,0.043,0.069,-0.342,83,0.847,-0.440,9.760
31036.52585,3,0.897,-0.385,9.500,4,-0.002,-0.011,0.000,5,-56.456,9.713,-5.588,81,80.086,2.591,4.993,82,0.077,0.038,0.145,83,0.854,-0.442,9.759
31036.56627,3,0.952,-0.411,9.845,4,-0.000,0.004,-0.001,5,-56.756,9.844,-5.813,81,80.096,2.578,4.971,82,0.047,0.055,-0.260,83,0.850,-0.440,9.760
31036.60670,3,0.876,-0.375,9.545,4,-0.000,-0.004,0.000,5,-56.344,9.581,-6.113,81,80.106,2.584,5.001,82,0.097,0.030,0.086,83,0.855,-0.441,9.759
31036.64712,3,1.221,-0.675,9.828,4,0.013,0.036,-0.024,5,-56.213,9.788,-5.756,81,80.113,2.573,4.977,82,0.025,0.064,-0.215,83,0.851,-0.439,9.760
31036.68754,3,0.768,-0.102,9.497,4,-0.025,0.009,0.023,5,-55.988,9.581,-5.756,81,80.116,2.600,5.015,82,0.362,-0.232,0.069,83,0.859,-0.443,9.759
31036.72797,3,0.823,-0.524,9.821,4,0.014,0.010,-0.018,5,-55.988,9.581,-5.869,81,80.122,2.574,4.993,82,-0.087,0.337,-0.262,83,0.855,-0.439,9.759
