timestamp, accel, accelX, accelY, accelZ, gyro, gyroX, gyroY, gyroZ, magno, magnoX, magnoY, magnoZ
162530.47259, 3,  -0.862,  1.280,  9.083
162530.49204, 3,  -0.759,  1.046,  9.505, 4,  -0.242, -0.144, -0.179
162530.51148, 3,  -0.728,  0.822,  9.780, 4,  -0.243, -0.393, -0.191, 5,  28.256, -2.906,  9.263
162530.53093, 3,  -0.700,  0.505,  9.524, 4,  -0.080, -0.580, -0.204, 5,  29.138, -2.119,  9.506
162530.55038, 3,  -0.543,  1.018,  8.875, 4,   0.208, -0.608, -0.203, 5,  28.838, -2.644, 10.106
162530.56982, 3,  -0.291,  1.365,  8.649, 4,   0.296, -0.551, -0.143, 5,  28.706, -2.700, 10.200
162530.58927, 3,  -0.227,  1.294,  8.703, 4,   0.172, -0.588, -0.057, 5,  28.763, -2.944,  9.956
162530.60871, 3,  -0.309,  1.143,  8.947, 4,  -0.100, -0.644, -0.090, 5,  29.119, -2.963,  9.656
162530.62816, 3,  -0.006,  1.128,  9.184, 4,  -0.545, -0.709, -0.184, 5,  29.269, -3.075,  9.469
162530.64760, 3,   0.497,  1.202,  9.980, 4,  -0.946, -0.557, -0.259, 5,  29.419, -3.056,  9.319
162530.66705, 3,   0.660,  1.046, 10.394, 4,  -1.134, -0.284, -0.280, 5,  29.700, -3.038,  9.150
162530.68650, 3,   0.354,  0.880, 10.344, 4,  -1.066, -0.053, -0.223, 5,  29.906, -3.319,  8.888
162530.70594, 3,  -0.095,  0.674, 10.486, 4,  -0.883,  0.094, -0.090, 5,  30.150, -3.244,  8.494
162530.72539, 3,   0.014,  0.344, 10.395, 4,  -0.720,  0.065,  0.045, 5,  30.263, -3.431,  8.063
162530.74483, 3,   0.196,  0.254, 10.133, 4,  -0.576,  0.005,  0.083, 5,  30.469, -3.413,  7.631
162530.76428, 3,   0.227,  0.280, 10.321, 4,  -0.444,  0.075,  0.036, 5,  30.413, -3.450,  7.538
162530.78372, 3,   0.197,  0.455, 10.397, 4,  -0.336,  0.075, -0.053, 5,  30.394, -3.563,  7.331
162530.80317, 3,   0.122,  0.332, 10.356, 4,  -0.201, -0.005, -0.109, 5,  30.413, -3.731,  7.350
162530.82262, 3,   0.123,  0.279, 10.016, 4,  -0.074, -0.100, -0.124, 5,  30.338, -3.938,  7.313
162530.84206, 3,   0.147,  0.229,  9.958, 4,   0.017, -0.119, -0.089, 5,  30.075, -3.844,  7.031
162530.86151, 3,   0.200,  0.291,  9.802, 4,   0.036, -0.113, -0.055, 5,  29.981, -3.844,  6.975
162530.88095, 3,   0.293,  0.170,  9.597, 4,   0.001, -0.118, -0.017, 5,  30.075, -3.656,  6.919
