timestamp,accel,accelX,accelY,accelZ,gyro,gyroX,gyroY,gyroZ,magno,magnoX,magnoY,magnoZ
162548.40153,3,-1.063,-0.002,9.418
162548.42098,3,-0.681,0.167,10.752
162548.44043,3,-0.085,0.072,10.402,4,-0.172,-0.308,0.008
162548.45987,3,-0.047,0.162,9.243,4,0.066,-0.222,0.010,5,32.231,-0.581,4.556
162548.47932,3,-0.372,0.233,9.202,4,0.073,0.007,-0.010,5,32.813,-0.863,5.025
162548.49876,3,-0.274,0.104,9.438,4,-0.056,-0.009,0.004,5,33.056,-1.406,5.325
162548.51821,3,-0.173,0.091,9.569,4,-0.133,-0.021,0.034,5,32.813,-1.538,5.644
162548.53765,3,-0.215,0.109,9.751,4,-0.170,-0.017,0.041,5,32.925,-1.913,5.606
162548.55710,3,-0.153,0.078,9.761,4,-0.171,-0.034,0.037,5,32.794,-2.044,5.513
162548.57655,3,-0.102,0.067,9.895,4,-0.151,-0.053,0.020,5,32.813,-2.100,5.569
162548.59599,3,-0.128,-0.048,9.943,4,-0.131,-0.106,-0.005,5,32.738,-2.288,5.475
162548.61544,3,-0.148,-0.060,9.744,4,-0.092,-0.159,-0.031,5,32.756,-2.700,5.381
162548.63488,3,-0.042,-0.100,9.737,4,-0.073,-0.143,-0.027,5,32.606,-2.925,5.081
162548.65433,3,-0.024,-0.106,9.701,4,-0.068,-0.127,-0.011,5,32.381,-2.944,5.006
162548.67377,3,0.005,-0.116,9.661,4,-0.060,-0.139,-0.003,5,32.456,-2.831,4.875
162548.69322,3,0.022,-0.141,9.757,4,-0.072,-0.075,0.002,5,32.400,-2.813,4.800
162548.71267,3,0.001,-0.196,9.755,4,-0.073,-0.053,-0.000,5,32.531,-2.850,4.800
162548.73211,3,-0.002,-0.295,9.698,4,-0.058,-0.040,-0.005,5,32.475,-3.094,4.744
162548.75156,3,0.065,-0.266,9.635,4,-0.059,0.005,-0.001,5,32.456,-3.113,4.725
162548.77100,3,0.072,-0.225,9.560,4,-0.069,0.006,-0.002,5,32.588,-3.038,5.044
162548.79045,3,0.056,-0.257,9.611,4,-0.089,0.009,-0.013,5,32.850,-3.094,5.475
162548.80989,3,-0.038,-0.302,9.761,4,-0.116,0.011,-0.022,5,32.756,-3.263,5.644
162548.82934,3,-0.032,-0.298,9.826,4,-0.121,0.004,-0.025,5,32.644,-3.619,5.625
162548.84879,3,0.001,-0.295,9.845,4,-0.100,-0.015,-0.022,5,32.681,-3.563,5.775
162548.86823,3,0.014,-0.284,9.658,4,-0.065,-0.026,-0.027,5,32.513,-3.525,5.738
162548.88768,3,0.005,-0.327,9.478,4,-0.054,-0.019,-0.040,5,32.588,-3.375,5.794
162548.90712,3,0.019,-0.322,9.587,4,-0.086,-0.005,-0.051,5,32.625,-3.375,5.888
162548.92657,3,0.035,-0.362,9.732,4,-0.120,0.005,-0.062,5,32.625,-3.281,5.588
162548.94601,3,0.001,-0.359,9.817,4,-0.125,0.011,-0.074,5,32.475,-3.263,5.288
162548.96546,3,0.062,-0.437,9.725,4,-0.110,-0.005,-0.075,5,32.775,-3.075,4.950
162548.98491,3,0.173,-0.482,9.649,4,-0.097,-0.017,-0.072,5,32.925,-2.944,4.819
162549.00435,3,0.171,-0.468,9.652,4,-0.098,0.004,-0.091,5,32.963,-2.719,4.781
162549.02380,3,0.104,-0.488,9.761,4,-0.107,0.040,-0.125
162549.04324,3,0.012,-0.539,9.743,4,-0.113,0.052,-0.150,5,32.869,-2.888,4.894
162549.06269,3,-0.095,-0.588,9.746,4,-0.110,0.037,-0.164,5,32.569,-2.663,4.631
162549.08213,3,-0.132,-0.636,9.663,4,-0.105,0.010,-0.156,5,32.400,-2.381,4.444
162549.10158,3,-0.111,-0.639,9.642,4,-0.103,-0.051,-0.131,5,32.156,-2.306,4.613
162549.12103,3,0.030,-0.643,9.539,4,-0.104,-0.130,-0.093,5,31.894,-2.288,4.688
162549.14047,3,0.164,-0.564,9.429,4,-0.094,-0.176,-0.066,5,31.800,-2.306,4.800
162549.15992,3,0.269,-0.529,9.262,4,-0.104,-0.185,-0.065,5,31.725,-2.156,4.950
162549.17936,3,0.159,-0.566,9.444,4,-0.153,-0.124,-0.080,5,31.575,-2.213,4.763
162549.19881,3,-0.049,-0.638,9.743,4,-0.213,-0.089,-0.077,5,31.613,-2.081,4.631
162549.21825,3,-0.024,-0.669,10.041,4,-0.221,-0.147,-0.039,5,31.763,-1.950,4.725
162549.23770,3,0.256,-0.760,9.903,4,-0.165,-0.224,-0.005,5,31.950,-1.969,4.744
162549.25715,3,0.399,-0.786,9.740,4,-0.130,-0.190,-0.009,5,32.250,-2.006,4.688
162549.27659,3,0.413,-0.803,9.625,4,-0.109,-0.123,-0.036,5,32.438,-2.138,4.688
162549.29604,3,0.329,-0.851,9.521,4,-0.097,-0.144,-0.069,5,32.363,-2.231,4.538
