timestamp,accel,accelX,accelY,accelZ,gyro,gyroX,gyroY,gyroZ,magno,magnoX,magnoY,magnoZ
162481.66420,3,-1.694,3.760,8.425
162481.68365,3,-1.387,3.518,9.113
162481.70309,3,-1.302,3.141,9.093,4,-0.194,-0.585,-0.018,5,-8.119,-28.594,13.425
162481.72254,3,-1.486,3.187,8.801,4,0.037,-0.628,-0.034,5,-8.250,-28.613,14.213
162481.74198,3,-1.565,3.386,8.290,4,0.169,-0.650,-0.062,5,-7.894,-28.238,14.531
162481.76143,3,-1.233,3.452,7.807,5,-7.800,-28.744,14.794
162481.78088,3,-1.180,3.591,8.141,4,0.163,-0.594,-0.021,5,-7.481,-28.913,14.981
162481.80032,3,-1.155,3.505,7.623,4,0.082,-0.522,0.067,5,-7.256,-29.119,15.094
162481.81977,3,-0.995,3.341,7.397,4,-0.060,-0.566,0.135,5,-7.200,-29.044,15.300
162481.83921,3,-0.937,3.323,7.600,4,-0.189,-0.632,0.185,5,-7.144,-29.119,15.488
162481.85866,3,-0.712,3.309,7.636,4,-0.235,-0.725,0.227,5,-6.994,-29.194,15.825
162481.87810,3,-0.503,3.243,7.444,4,-0.173,-0.685,0.289,5,-6.713,-29.213,15.769
162481.89755,3,-0.384,2.906,7.258
162481.91699,3,-0.248,2.878,7.149,4,-0.109,-0.564,0.394,5,-6.488,-29.494,15.825
162481.93644,3,-0.242,3.058,7.501,4,-0.485,-0.439,0.445,5,-6.319,-29.288,15.881
162481.95588,3,-0.287,2.823,7.655,4,-0.682,-0.445,0.409,5,-6.356,-29.175,15.938
162481.97533,3,-0.191,2.686,7.377,4,-0.817,-0.315,0.381,5,-6.450,-28.988,15.788
162481.99477,3,0.364,2.587,8.245,4,-0.953,0.243,0.367,5,-6.525,-29.231,15.413
162482.01422,3,0.527,1.847,10.152,5,-6.544,-29.306,15.263
162482.03367,3,0.413,1.566,10.852,4,-1.122,0.659,0.240,5,-6.619,-29.475,15.000
162482.05311,3,-0.345,1.671,10.711,4,-1.212,0.357,-0.145,5,-6.788,-29.456,14.888
162482.07256,3,-0.508,1.565,10.162,4,-0.922,0.259,-0.117,5,-7.069,-29.550,14.438
162482.09200,3,-0.340,1.363,9.491,5,-7.200,-29.888,13.931
162482.11145,3,-0.274,1.393,9.994,4,-0.581,0.108,-0.014,5,-7.425,-30.300,13.500
162482.13089,3,-0.362,1.516,9.961,4,-0.568,-0.129,-0.035,5,-7.594,-30.825,12.900
162482.15034,3,-0.182,1.490,10.108,4,-0.583,-0.136,0.003,5,-7.631,-31.031,12.488
162482.16978,3,-0.209,1.604,10.108,4,-0.677,-0.179,0.066,5,-7.519,-31.275,11.775
162482.18923,3,-0.182,1.362,10.747,5,-7.331,-31.406,11.438
162482.20867,3,-0.091,1.051,11.743,4,-0.901,-0.298,0.142,5,-7.369,-31.950,10.650
162482.22812,3,0.239,0.815,12.348,4,-1.158,-0.351,0.131,5,-7.481,-32.419,10.031
162482.24757,3,0.466,0.790,11.811,4,-0.839,-0.302,0.021,5,-7.500,-32.625,9.581
162482.26701,3,0.303,0.840,10.765,4,-0.396,-0.096,-0.089,5,-7.219,-32.700,9.000
162482.28646,3,0.053,0.903,10.022,5,-7.238,-32.700,8.475
162482.30590,3,0.004,1.093,10.469,4,-0.154,0.208,-0.017,5,-7.200,-32.981,8.138
162482.32535,3,-0.298,0.970,10.718,4,-0.280,-0.119,0.163,5,-7.406,-33.244,7.856
162482.34479,3,-0.145,0.727,10.868,4,-0.321,-0.475,0.276,5,-7.556,-33.713,7.031
162482.36424,3,0.227,0.601,10.284,4,-0.227,-0.728,0.255,5,-7.631,-33.788,6.919
162482.38368,3,0.644,0.547,9.871,4,-0.047,-0.625,0.148,5,-7.594,-33.919,6.656
162482.40313,3,0.782,0.456,9.160,4,0.141,-0.326,0.024,5,-7.631,-34.050,6.525
162482.42257,3,0.624,0.435,8.701,5,-7.669,-34.088,6.375
162482.44202,3,0.552,0.462,8.966,4,0.080,0.182,-0.071,5,-7.425,-34.256,6.450
162482.46146,3,0.230,0.451,9.044,4,-0.056,0.186,-0.067,5,-7.481,-33.994,6.225
162482.48091,3,0.273,0.273,9.211,4,-0.212,0.198,0.001,5,-7.331,-33.919,6.169
162482.50036,3,0.383,0.365,9.683,5,-7.313,-33.694,6.469
162482.51980,3,0.347,0.372,10.108,4,-0.503,0.274,0.028,5,-7.275,-33.694,6.469
162482.53925,3,0.331,0.185,10.620,4,-0.542,0.357,-0.021,5,-7.144,-33.506,6.525
162482.55869,3,0.098,0.189,11.097
162482.57814,3,-0.170,0.371,11.420,4,-0.291,0.301,-0.051,5,-7.088,-33.525,6.206
162482.59758,3,-0.135,0.407,11.353,4,-0.148,0.103,0.015,5,-7.256,-33.731,5.531
162482.61703,3,-0.017,0.462,10.869
162482.63647,3,0.075,0.480,10.444,4,-0.055,-0.050,0.109,5,-7.256,-34.031,5.363
162482.65592,3,0.110,0.503,10.285,5,-7.406,-34.144,5.156
162482.67536,3,0.062,0.527,10.172,4,-0.060,-0.020,0.090,5,-7.425,-34.369,4.800
162482.69481,3,0.081,0.411,9.888,4,0.006,-0.029,0.058,5,-7.369,-34.575,4.763
162482.71426,3,0.025,0.298,9.635,5,-7.481,-34.744,4.650
162482.73370,3,-0.028,0.226,9.697,4,0.058,-0.047,0.041,5,-7.650,-34.969,4.444
162482.75315,3,-0.032,0.138,9.592,5,-7.819,-34.894,4.725
162482.77259,3,0.127,0.062,9.373,4,0.123,-0.064,0.047,5,-8.044,-34.988,4.875
162482.79204,3,0.152,0.116,9.304,4,0.194,-0.026,0.048,5,-7.931,-34.931,4.838
162482.81148,3,0.079,0.160,9.234,4,0.184,0.026,0.030,5,-8.119,-34.950,4.856
162482.83093,3,0.145,0.154,9.317,4,-0.076,-0.032,0.037,5,-8.250,-35.063,5.250
162482.85037,3,0.213,0.079,9.483,4,-0.188,-0.076,0.031,5,-8.269,-34.988,5.194
162482.86982,3,0.289,0.020,9.606,5,-8.156,-34.688,5.306
162482.88926,3,0.329,0.093,9.715,4,-0.176,-0.044,-0.022,5,-8.025,-34.538,5.550
162482.90871,3,0.218,0.134,9.683,4,-0.105,-0.015,-0.049,5,-7.819,-34.538,5.325
162482.92815,3,0.239,0.130,9.591,5,-7.856,-34.613,5.306
162482.94760,3,0.145,0.115,9.336,4,-0.053,0.007,-0.073,5,-7.988,-34.763,5.400
162482.96705,3,0.140,0.023,9.206,4,-0.121,0.059,-0.072,5,-7.913,-34.631,5.288
162482.98649,3,0.066,-0.025,9.517,4,-0.219,0.113,-0.070,5,-7.856,-34.256,5.156
162483.00594,3,-0.024,-0.048,9.934,5,-7.894,-34.125,5.100
162483.02538,3,-0.004,-0.096,10.195,4,-0.301,0.148,-0.083,5,-8.138,-34.238,4.819
162483.04483,3,-0.081,-0.118,10.382,4,-0.345,0.228,-0.075,5,-8.363,-34.200,4.669
162483.06427,3,-0.172,-0.237,10.485,5,-8.363,-34.144,4.463
162483.08372,3,-0.154,-0.237,10.602,4,-0.212,0.146,-0.022,5,-8.213,-34.163,4.294
162483.10316,3,-0.159,-0.181,10.430,5,-8.194,-33.994,4.181
162483.12261,3,-0.006,-0.248,10.095,4,0.065,-0.073,0.004,5,-8.175,-34.144,3.788
162483.14205,3,0.097,-0.171,9.627,5,-8.100,-34.500,3.488
162483.16150,3,0.152,-0.127,9.478,4,0.136,-0.102,-0.022,5,-8.288,-34.706,3.225
162483.18095,3,0.145,-0.079,9.527,5,-8.231,-34.894,3.244
162483.20039,3,0.038,-0.090,9.450,4,0.114,-0.018,-0.050,5,-8.194,-35.025,3.169
162483.21984,3,-0.024,-0.032,9.396,5,-8.194,-35.138,3.375
162483.23928,3,0.018,-0.063,9.472,4,-0.055,0.041,-0.014,5,-8.475,-35.231,3.563
162483.25873,3,-0.033,-0.068,9.621,4,-0.128,0.044,0.002,5,-8.363,-35.494,3.450
162483.27817,3,0.005,-0.130,9.759,5,-8.194,-35.606,3.656
162483.29762,3,0.083,-0.126,9.879,4,-0.050,-0.017,0.031
162483.31706,3,0.092,-0.041,9.757,5,-8.025,-35.438,3.525
162483.33651,3,0.202,0.098,9.446,4,0.066,-0.046,0.004,5,-7.725,-35.513,3.731
162483.35595,3,0.109,0.229,9.466,4,-0.010,-0.062,-0.014,5,-7.706,-35.438,3.788
162483.37540,3,0.234,0.316,9.393,4,-0.150,-0.091,-0.017,5,-7.519,-35.269,3.956
162483.39485,3,0.305,0.327,9.704,4,-0.193,-0.007,-0.041,5,-7.538,-35.194,3.881
162483.41429,3,0.122,0.359,9.899,4,-0.190,0.056,-0.046,5,-7.350,-35.063,3.731
162483.43374,3,0.065,0.564,10.033,5,-7.444,-35.006,3.938
162483.45318,3,-0.129,0.591,10.033,4,-0.159,0.099,-0.058,5,-7.519,-34.819,3.806
162483.47263,3,-0.172,0.480,9.827,4,-0.054,0.080,-0.067,5,-7.763,-34.913,3.863
162483.49207,3,-0.188,0.436,9.511,4,0.187,0.019,-0.040,5,-7.931,-34.838,3.544
162483.51152,3,-0.243,0.472,9.332,5,-7.819,-34.950,3.600
162483.53096,3,-0.279,0.386,9.100,4,0.236,0.040,-0.029,5,-7.725,-35.044,3.338
162483.55041,3,-0.262,0.296,8.747,4,0.143,0.077,0.103,5,-7.631,-35.044,3.094
162483.56985,3,-0.296,0.374,8.779,4,0.004,0.135,0.160,5,-7.613,-34.931,3.056
162483.58930,3,-0.389,0.620,9.166,4,-0.190,0.168,0.171,5,-7.725,-34.725,2.850
162483.60875,3,-0.263,1.094,9.667,5,-7.894,-34.613,3.113
162483.62819,3,0.152,1.260,9.992,4,-0.397,0.099,0.124,5,-7.950,-34.613,3.375
162483.64764,3,0.346,1.385,10.596,4,-0.561,-0.007,0.044,5,-7.950,-34.519,3.469
162483.66708,3,0.176,1.446,11.206,4,-0.518,-0.009,-0.292,5,-8.025,-34.481,3.131
162483.68653,3,-0.123,1.043,11.225,4,-0.329,-0.036,-0.315,5,-8.025,-34.613,3.094
162483.70597,3,-0.408,0.710,10.553,5,-8.119,-34.688,3.469
162483.72542,3,-0.688,0.660,9.536,4,0.343,-0.037,-0.179,5,-8.194,-34.706,3.188
162483.74486,3,-1.040,0.713,8.614,5,-8.194,-34.875,3.056
162483.76431,3,-1.220,0.701,7.953,4,0.552,0.067,-0.112,5,-8.025,-35.119,2.850
162483.78375,3,-1.293,0.674,8.003,4,0.225,0.271,0.146,5,-7.969,-34.913,2.644
162483.80320,3,-1.398,0.747,8.578,5,-7.819,-34.838,2.606
162483.82265,3,-1.134,0.682,9.255,4,-0.065,0.225,0.275,5,-7.875,-34.950,2.888
162483.84209,3,-0.540,0.649,9.268,4,-0.258,0.061,0.424,5,-8.100,-34.969,3.019
162483.86154,3,-0.057,0.765,9.436,4,-0.320,-0.109,0.501,5,-8.306,-35.025,2.738
162483.88098,3,0.173,1.086,9.642,4,-0.036,0.122,0.141,5,-8.531,-35.063,3.094
162483.90043,3,0.028,1.591,10.455,5,-8.625,-34.894,3.356
162483.91987,3,-0.245,2.118,11.209,4,0.057,0.201,-0.130,5,-8.681,-34.969,3.319
162483.93932,3,-0.319,2.206,11.136,4,0.049,0.020,-0.250,5,-8.794,-35.175,3.150
162483.95876,3,-0.221,2.180,10.761,4,0.121,-0.305,-0.195,5,-8.850,-35.325,3.038
162483.97821,3,-0.061,2.394,10.306,4,0.597,-0.289,-0.108,5,-8.888,-35.044,3.038
162483.99765,3,-0.093,2.502,9.991,4,0.642,-0.055,-0.278,5,-8.981,-34.706,3.169
162484.01710,3,-0.472,2.653,9.909,4,0.368,0.053,-0.479
162484.03655,3,-0.563,2.264,10.188,4,0.001,-0.001,-0.506,5,-9.000,-34.688,3.281
162484.05599,3,-0.553,1.874,11.425,5,-8.794,-34.650,3.188
162484.07544,3,-1.025,1.981,12.217,4,-0.116,0.022,-0.416,5,-8.813,-34.631,3.169
162484.09488,3,-1.240,1.382,11.936,5,-8.850,-34.500,3.525
162484.11433,3,-1.100,-0.173,11.649,4,0.223,0.017,-0.332,5,-8.719,-34.275,3.750
162484.13377,3,-1.276,-1.562,12.265,4,0.593,0.248,-0.162,5,-8.756,-34.181,4.050
162484.15322,3,-1.571,-1.408,12.565,5,-8.494,-34.219,4.200
162484.17266,3,-1.980,-1.240,12.131,4,0.422,0.545,-0.325,5,-8.269,-34.144,4.106
162484.19211,3,-1.781,-2.387,11.879,4,0.185,0.631,-0.473,5,-7.913,-33.938,4.406
162484.21155,3,-1.144,-3.151,11.956,4,0.039,0.394,-0.315,5,-7.725,-34.050,4.650
162484.23100,3,-0.177,-3.240,11.793,4,0.322,-0.517,0.388,5,-7.425,-34.238,4.781
162484.25045,3,1.130,-3.680,10.495,5,-7.256,-34.144,4.781
162484.26989,3,2.091,-3.529,8.959,4,0.616,-0.745,0.629,5,-7.181,-34.181,5.100
162484.28934,3,2.261,-2.545,7.942,4,0.757,-0.767,0.621,5,-7.125,-34.200,5.213
162484.30878,3,2.137,-1.667,7.842,4,0.708,-0.658,0.423,5,-7.313,-34.125,5.494
162484.32823,3,1.896,-1.299,7.807,4,0.547,-0.511,0.159,5,-7.406,-34.200,5.981
162484.34767,3,1.483,-1.058,8.019,4,0.307,-0.382,-0.139,5,-7.763,-34.238,6.300
162484.36712,3,1.374,-0.772,8.217,4,-0.079,-0.069,-0.318,5,-7.688,-34.069,6.563
162484.38656,3,1.363,-0.559,8.633,5,-7.800,-33.694,6.956
162484.40601,3,1.290,-0.546,8.699,4,-0.089,0.028,-0.255,5,-7.631,-33.488,7.519
162484.42545,3,1.045,-0.758,8.407,4,0.054,0.319,-0.292,5,-7.500,-33.319,7.819
162484.44490,3,0.607,-0.941,8.104,5,-7.256,-33.131,8.250
162484.46435,3,-0.147,-1.120,8.174,4,0.055,0.482,-0.281,5,-7.144,-33.113,8.231
162484.48379,3,-0.794,-1.219,8.690,4,-0.061,0.467,-0.208,5,-6.975,-33.094,8.269
162484.50324,3,-0.807,-1.229,9.196,4,-0.219,0.211,-0.060,5,-6.506,-32.944,8.138
162484.52268,3,-0.527,-1.150,9.556,4,-0.334,-0.139,0.165,5,-6.656,-32.719,8.063
162484.54213,3,-0.445,-0.923,9.725,4,-0.387,-0.352,0.340,5,-6.600,-32.944,8.044
162484.56157,3,-0.317,-0.681,9.758,4,-0.143,-0.321,0.296,5,-6.825,-33.019,7.688
162484.58102,3,-0.100,-0.711,9.952,5,-6.863,-33.188,7.650
162484.60046,3,0.123,-0.972,10.078,4,0.010,-0.118,0.225,5,-7.331,-33.094,7.425
162484.61991,3,0.604,-1.119,10.060,5,-7.406,-33.131,7.369
162484.63935,3,1.010,-0.752,9.670,4,-0.002,-0.176,0.282,5,-7.538,-33.075,7.463
162484.65880,3,1.312,-0.099,9.314,4,-0.016,-0.276,0.233,5,-7.913,-33.225,7.613
162484.67825,3,1.513,0.045,9.190,4,0.051,-0.187,0.200,5,-8.025,-33.338,7.631
162484.69769,3,1.356,0.086,9.017,4,0.033,-0.132,0.142,5,-8.250,-33.188,7.519
162484.71714,3,1.378,0.129,9.197,4,-0.174,-0.188,0.185
162484.73658,3,1.885,-0.068,9.914,4,-0.430,-0.242,0.264,5,-8.194,-33.113,7.388
162484.75603,3,2.078,-0.372,11.131,5,-8.569,-33.131,7.200
162484.77547,3,1.658,-0.621,11.601,4,-0.256,0.059,0.012,5,-8.513,-33.094,7.350
162484.79492,3,1.148,-0.716,10.735,5,-8.663,-32.981,7.275
162484.81436,3,0.673,-0.569,9.446,4,0.205,0.059,-0.114,5,-8.775,-32.963,6.900
162484.83381,3,0.250,-0.251,8.224,4,0.642,-0.039,-0.195,5,-8.625,-32.700,6.656
162484.85326,3,-0.074,0.230,7.649,4,0.496,-0.309,-0.208,5,-8.419,-32.700,6.731
162484.87270,3,-0.099,0.500,7.739,5,-8.306,-32.719,6.750
162484.89215,3,-0.090,0.593,8.492,4,0.054,-0.287,-0.133,5,-8.213,-32.663,7.088
162484.91159,3,-0.005,0.408,9.542,4,-0.412,-0.122,-0.029,5,-8.081,-32.569,7.181
162484.93104,3,-0.053,0.311,10.666,4,-0.682,0.129,0.070,5,-7.950,-32.775,7.069
162484.95048,3,-0.221,0.129,11.453,4,-0.701,0.326,0.103,5,-7.819,-32.794,7.125
162484.96993,3,-0.183,0.248,11.828,4,-0.542,0.340,0.136,5,-7.613,-32.794,7.256
162484.98937,3,-0.045,0.162,11.032,4,-0.214,0.277,0.193,5,-7.538,-32.906,7.331
162485.00882,3,0.304,0.252,9.968,4,0.169,0.117,0.252,5,-7.763,-32.700,7.163
162485.02826,3,0.686,0.232,9.212,4,0.347,-0.065,0.311,5,-7.744,-32.681,7.144
162485.04771,3,0.935,0.172,8.911,4,0.217,-0.068,0.260,5,-7.894,-32.813,7.163
162485.06716,3,1.101,0.195,9.057,4,0.070,-0.015,0.199,5,-8.006,-32.756,7.181
162485.08660,3,0.994,0.054,9.306,4,-0.029,0.020,0.130,5,-8.194,-32.813,7.200
162485.10605,3,0.923,-0.020,9.423,4,-0.060,0.048,0.087,5,-8.194,-32.775,7.406
162485.12549,3,0.731,0.005,9.389,4,-0.080,0.055,0.041,5,-8.475,-32.981,7.294
162485.14494,3,0.607,0.073,9.451,5,-8.794,-33.019,7.256
162485.16438,3,0.526,0.114,9.731,4,-0.140,0.029,0.001,5,-8.888,-33.206,7.369
162485.18383,3,0.493,0.159,10.060,4,-0.208,0.014,-0.018,5,-9.131,-33.206,7.313
162485.20327,3,0.500,0.173,10.247,4,-0.152,0.008,-0.011,5,-9.300,-33.488,7.050
162485.22272,3,0.485,0.181,10.155,4,-0.025,-0.006,0.007,5,-9.300,-33.600,6.806
162485.24217,3,0.467,0.061,9.750,5,-9.375,-33.656,6.694
